apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
Aguilar García, Timoteo;;;22;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;27 de diciembre de 1941
Aguilar Lej, José;;;34;;;Castellote (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;2 de noviembre de 1942
Aguilar Luna, Andrés;;;34;;;Pedro Abad (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;25 de septiembre de 1941
Aguilar Martínez, Manuel;;;28;;;Losa/Llosa (Valencia);;;-;;;Mauthausen;;;25 de agosto de 1943
Aguilar Moral, Juan;;;23;;;Fuente Palmera-Fuente Carretero (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;11,01.1942
Aguilar Moros, Antonio;;;33;;;Lora del Río (Sevilla);;;-;;;Hartheim;;;2 de febrero de 1942
Aguilar Vera, Rafael;;;39;;;Almería;;;-;;;Hartheim (Austria);;;17 de diciembre de 1941
Aguilera Gisbert, Emilio;;;28;;;La Calahorra (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;3 de noviembre de 1941
Aguilera González, Isidro;;;25;;;Hinojosa de Calatrava (Ciudad Real);;;-;;;Hartheim;;;30 de septiembre de 1941
Aguilera López, José;;;24;;;Almería;;;-;;;Gusen - Campo de concentración (Austria);;;9 de octubre de 1941
Aguirre Fernández, Antonio;;;26;;;Pozoblanco (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;15 de enero de 1942
Agulló Quirant, Antonio;;;24;;;Elx/Elche (Alcant/Alicante);;;-;;;Hartheim;;;10 de febrero de 1942
Agustí Bomboi, José;;;45;;;Almazora/Almassora (Castellón);;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Agustí Hervás, Ramon;;;25;;;Sagunto/Sagunt (Valencia);;;-;;;Mauthausen;;;23 de mayo de 1943
Agustí, Francisco;;;41;;;Barcelona;;;-;;;Dachau (Alemania);;;23 de enero de 1945
Aicart Pruñonosa, Augusto;;;26;;;Santa Magdalena de Polpis (Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;11 de diciembre de 1941
Aina Ramos, Ignacio;;;24;;;Azuara (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;9 de enero de 1941
Ains Esteban, Salvador;;;25;;;Monzón (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;24 de septiembre de 1941
Aísa Borao, Feliciano;;;44;;;Puente la Reina de Jaca - Javierregay (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;11 de octubre de 1942
Alabart Pascual, José;;;0;;;Tivissa - Serra d´Almos (La) (Tarragona);;;-;;;-;;;1944
Aladreu Merino, Nicolás;;;32;;;Medranda (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;17 de noviembre de 1941
Alamán Nasarre, Miguel;;;31;;;Belver de Cinca (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;2 de enero de 1941
Alapont Guillem, Vicente;;;22;;;Catarroja (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;26 de noviembre de 1941
Alarcia Obregón, Eugenio;;;28;;;Quincoces de Yuso (Burgos) - Valle de Losa;;;-;;;Gusen - Campo de concentración (Austria);;;2 de enero de 1942
Alastruey Sagarra, Luis;;;36;;;Gurrea de Gállego (Huesca);;;-;;;Hartheim (Alkoven, Àustria) ;;;30 de septiembre de 1941
Alastuey Aragüés, Ignacio;;;46;;;Sigüés (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;7 de noviembre de 1941
Alastuey Botaya, Santiago;;;28;;;Longás (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;11 de julio de 1941
Albalate Pequerul, Blas;;;53;;;Urrea de Gaén (Teruel);;;-;;;Hartheim;;;4 de diciembre de 1941
Albalate Sobradiel, Manuel;;;16;;;Urrea de Gaén (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;31 de agosto de 1941
Albareda Marí, Francisco;;;37;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1941
Albedro Villaverde, José;;;36;;;A Coruña;;;-;;;Mauthausen (Austria);;;24 de enero de 1943
Albendín Navarro, Miguel;;;32;;;Baena (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;15 de enero de 1942
Albendín Navarro, Rafael;;;40;;;Baena (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;25 de enero de 1942
Albendín Navarro, Santiago;;;37;;;Baena (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;20 de enero de 1942
Alberich Maristany, Lluís;;;28;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;11 de noviembre de 1941
Albero Muniesa, Antonio;;;41;;;Alacón (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;5 de diciembre de 1941
Albero Puerto, Enrique;;;34;;;Banyeres de Mariola (Alacant/Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;19 de diciembre de 1941
Albero Puyo, Mariano;;;43;;;Bandaliés (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;23 de abril de 1944
Albert Falcó, José;;;33;;;Albocàsser (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Albert Pelbada ?, José;;;49;;;Monóvar (Alacant);;;-;;;Farge - campo nazi;;;23 de enero de 1945
Albert, Manuel;;;0;;;Elda (Alicante);;;-;;;Sonnenburg ?;;;00
Albir Granero, José;;;49;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;29 de junio de 1941
Albite Miranda, Silvestre;;;29;;;La Ribeira;;;-;;;Mauthausen;;;9 de noviembre de 1941
Albó Camús, Luis;;;39;;;Santander;;;-;;;Gusen - Campo de concentración (Austria);;;17 de agosto de 1941
Albuche López, Vicente;;;39;;;Quesa (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;13 de noviembre de 1941
Alcaine Torres, Carlos;;;42;;;Sástago (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;1 de septiembre de 1941
Alcalá Fañanás, Pablo;;;21;;;Biescas (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Alcalde Giménez, Emilio;;;24;;;Dos Torres (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;18 de febrero de 1941
Alcalde González, Julián;;;40;;;Sestao (Vizcaya);;;-;;;Hartheim - campo nazi;;;24 de septiembre de 1941
Alcañiz Castillo, Félix;;;28;;;Alcázar de San Juan (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;7 de diciembre de 1941
Alcántara Expósito, Luis;;;32;;;La Rambla (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;22 de septiembre de 1941
Alcaraz González, Francisco;;;42;;;La Unión (Murcia);;;-;;;Gusen - Campo de concentración (Austria);;;8 de diciembre de 1942
Alcaraz Mistoy, Ramón;;;30;;;Alguaire (Lleida);;;-;;;Gusen - Campo de exterminio nazi (Austria);;;10 de diciembre de 1941 - 38
Alcaraz Personal, José;;;27;;;Murcia;;;-;;;Gusen - Campo de concentración (Austria);;;22 de noviembre de 1941
Alcaraz Pujante, Francisco;;;36;;;Murcia;;;-;;;Mauthausen - campo exterminio nazi - Austria;;;30 de septiembre de 1941
Alcaraz Roldán, José;;;38;;;Valdepeñas (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;15 de septiembre de 1941
Alcaraz Tudela, Carlos;;;33;;;Cartagena (Murcia);;;-;;;Hartheim;;;23 de septiembre de 1941
Alcázar Gómez, Manuel;;;34;;;Albacete;;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Alcázar Sánchez, Bernabé;;;33;;;Villa del Río (Córdoba);;;-;;;Mauthausen;;;2 de marzo de 1943
Alceda Sanou, Ramón;;;35;;;Cervera (Lleida);;;-;;;Hartheim;;;25 de septiembre de 1941
Alcojor Carvajal, Víctor;;;30;;;Mohedas de la Jara (Toledo);;;-;;;Hartheim ;;;30 de septiembre de 1941
Alcolea García, José;;;26;;;Socuéllamos (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;31 de diciembre de 1941
Alcubierre Panzano, Miguel;;;68;;;Tardienta (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;24 de marzo de 1941
Alcusón Gracia, Narciso;;;39;;;Pradilla de Ebro (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;27 de noviembre de 1941
Alda Bolaños, Román;;;44;;;Anguita (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;28 de noviembre de 1941
Alda García, Joaquín;;;32;;;Daroca (Zaragoza);;;-;;;Hartheim;;;30 de septiembre de 1941
Aldea Jaraba, Lamberto;;;36;;;Murero (Zaragoza);;;-;;;Hartheim;;;30 de septiembre de 1941
Aldeguer Vélez, Antonio;;;34;;;Cádiz;;;-;;;Mauthausen (Austria);;;13 de diciembre de 1944
Aldoma Villabriga, Miguel;;;30;;;Miralcamp (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;13 de agosto de 1941
Aldrich Teixidor, Joan;;;43;;;Viladamat (Girona);;;-;;;Mauthausen (Austria)  - campo nazi;;;13 de septiembre de 1941
Aledo Martínez, Francisco;;;33;;;Alhama de Murcia (Murcia);;;-;;;Gusen - Campo de concentración (Austria);;;29 de diciembre de 1941
Alegre Belenguer, Domingo;;;31;;;Segura de los Baños (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;6 de septiembre de 1941
Alegre Belmonte, Laureano;;;41;;;Alcalá de la Selva (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;7 de diciembre de 1941
Alegre Soldevilla, Tomás;;;25;;;Belver de Cinca (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Alegret Mañé, Damián;;;34;;;Constantí (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;25 de noviembre de 1941
Alegret Mañé, Luis;;;26;;;Constantí (Tarragona);;;-;;;Hartheim;;;30 de septiembre de 1941
Alegret Roda, Victor;;;41;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;11 de agosto de 1941
Alegría Mateo, Miguel;;;24;;;Mendavia (Navarra);;;-;;;Gusen - Campo de concentración (Austria);;;1 de enero de 1942 - 38
Alegría, Joaquin;;;36;;;Barracas (Castellón/Castelló);;;-;;;Dachau;;;21 de enero de 1945
Aleixendri Curto, Damián;;;32;;;Roquetes (Tarragona);;;-;;;Mauthausen;;;25 de marzo de 1942
Aleixendri Curto, Joaquín;;;42;;;Roquetes (Tarragona);;;-;;;Steyr;;;11 de enero de 1943
Alejandres González, José;;;51;;;Fuente Obejuna (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;17 de abril de 1941
Alejandro Ortells, Miguel;;;22;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;8 de noviembre de 1941
Alemany Figueras, Pablo;;;26;;;Sabadell (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;11 de noviembre de 1941
Alemany Peyret, Rossend;;;21;;;Vidreres (Girona);;;-;;;Mauthausen (Austria)  - campo nazi;;;29 de noviembre de 1941
Alentorn Tarragó, Carlos;;;35;;;Flix (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;23 de noviembre de 1941
Alfonso Soto, José;;;24;;;Albox (Almería);;;-;;;Gusen - Campo de concentración (Austria);;;15 de enero de 1942
Algaba Naranjo, Emilio;;;35;;;Retamal de Llerena (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;9 de enero de 1942
