apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
Bardo, Ramon;;;35;;;Madroñera (Cáceres);;;-;;;Beneschau ?;;;3 de marzo de 1944 ?
Bargallo Serras, Juan;;;43;;;Tivissa - Serra d&#039;Almos (La) (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;14 de abril de 1941
Barnola Colom, Salvador;;;45;;;Puigcerdà (Girona);;;-;;;Mauthausen (Gusen) - Austria - campo nazi ;;;16 de julio de 1941
Barón Arazo, Joaquín;;;36;;;Azara (Huesca);;;-;;;Mauthausen - Campo exterminio nazi (Austria);;;22 de abril de 1943
Barón González, Manuel;;;22;;;La Solana (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;1 de enero de 1942
Barón Villa, Esteban;;;32;;;Castillazuelo (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;1 de octubre de 1941
Barón, Antonio;;;0;;;Villamayor-Zaragoza;;;-;;;Buchenwald (Alemania) ? desaparecido;;;19 de enero de 1944 ?
Barqueros Martínez, Alfonso;;;23;;;Mula - Fuente Librilla (Murcia);;;-;;;Hartheim;;;18 de diciembre de 1941
Barrachina Martí, Ramon;;;39;;;Borriana (Castellón/Castelló);;;-;;;Ternberg (Austria);;;30 de diciembre de 1943
Barragán Díaz, Eloy;;;30;;;El Real de la Jara (Sevilla);;;-;;;Gusen - Campo de concentración (Austria);;;4 de febrero de 1942
Barragán Laita, Matías;;;39;;;Biota (Zaragoza);;;-;;;Dachau;;;28 de agosto de 1944
Barragán Sancho, Luis;;;49;;;Alanís (Sevilla);;;-;;;Hartheim;;;30 de septiembre de 1941
Barrebeig Arribas, José;;;29;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;21 de febrero de 1943
Barreda Fons, Juan;;;35;;;Sierra Engarcerán (Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Barrena Pineda, Alfredo;;;31;;;El Hoyo-Belmez (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;31 de marzo de 1943
Barrera Muñoz, Miguel;;;37;;;Arcos de la Frontera (Cádiz);;;-;;;Gusen - Campo de concentración (Austria);;;2 de noviembre de 1941
Barrera Pernia, Pablo;;;35;;;Olvera (Cádiz);;;-;;;Gusen - Campo de concentración (Austria);;;2 de febrero de 1942
Barrero Duque, Pablo;;;27;;;Almadén de la Plata (Sevilla);;;-;;;Gusen - Campo de concentración (Austria);;;9 de abril de 1943
Barrero Román, José;;;34;;;Guareña (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;12 de mayo de 1941
Barrero Taba, Manuel;;;29;;;Bélmez (Córdoba);;;-;;;Mauthausen;;;25 de julio de 1942
Barrio Carrasco, Fidel;;;33;;;Zarzuela del Monte (Segovia);;;-;;;Gusen - Campo de concentración (Austria);;;22 de noviembre de 1941
Barrionuevo Barrionuevo, José;;;33;;;Torres (Jaén);;;-;;;Gusen - Campo de concentración (Austria);;;6 de diciembre de 1941
Barrios Ortiz, Agustín;;;32;;;Ciempozuelos (Madrid);;;-;;;Gusen - Campo de concentración (Austria);;;30 de noviembre de 1941
Barris Soler, Rosendo;;;24;;;Les Preses (Girona);;;-;;;Buchenwald - Alemania - campo nazi (trasladado desde Dachau);;;30 de enero de 1945
Barroso de Antonio, Valentín;;;37;;;Alpedrete (Madrid);;;-;;;Gusen (campo exterminio) Austria;;;11 de diciembre de 1941
Barroso Vela, Rafael;;;36;;;Lora del Río (Sevilla);;;-;;;Gusen - Campo de concentración (Austria);;;12 de febrero de 1943
Barrrio, Joaquín (Alias Díaz, Ricardo);;;36;;;Oviedo (Asturias);;;-;;;Dachau (Alemania);;;25 de marzo de 1945
Barrufet Barrufet, Antonio;;;35;;;Juneda (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;20 de noviembre de 1941
Barrull Cuenca, Pedro;;;44;;;Manresa (Barcelona);;;-;;;Hartheim;;;23 de septiembre de 1941
Bartolí, Carme;;;54;;;Setcases (Girona);;;-;;;Ravensbrück - Alemania - campo nazi;;;15 de abril de 1945
Bartolomé Barreno, Félix;;;28;;;El Espinar, (Segovia);;;-;;;Gusen - Campo de concentración (Austria);;;24 de noviembre de 1942
Bartolomé Gajón, Salvador;;;24;;;Esparreguera (Barcelona);;;-;;;Steyr;;;19 de enero de 1943
Bartolomé Ménguez, Justo;;;51;;;Ures-Sigüenza (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;25 de septiembre de 1941
Bartos Romeo, Antonio;;;31;;;Torres de Berellén (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;30 de noviembre de 1941
Bartra Canet, Josep;;;35;;;Girona;;;-;;;Gusen - Campo de concentración (Austria);;;23 de noviembre de 1941
Bartrolí Creus, Francisco;;;30;;;Sant Martí Sarroca (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;7 de enero de 1942
Bas Rotllant, Josep;;;33;;;Calonge (Girona);;;-;;;Mauthausen (Gusen) - Austria;;;16 de agosto de 1941
Bas Soler, Juan Bautista;;;29;;;Jávea/Xàvia (Alacant/Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;11 de noviembre de 1941
Bascuñana García, Ramon;;;27;;;Orihuela (Alacant);;;-;;;Gusen - Campo de concentración (Austria);;;1 de noviembre de 1941
Baseda Murla, Pedro;;;40;;;La Selva del Camp (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;21 de diciembre de 1941
Baste Enrico, Francisco;;;38;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;14 de enero de 1942
Batalla Caule, Fernando;;;26;;;Coruña, A;;;-;;;Hartheim (Austria);;;22 de septiembre de 1941
Batalla Paul, Manuel;;;27;;;Borriana (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;22 de diciembre de 1941
Batalla Subarroca, Miquel;;;31;;;Covet (Lleida);;;Agricultor;;;Gusen - Campo de concentración (Austria);;;10 de diciembre de 1941
Batet Planas, Ramón;;;32;;;Sabadell (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;8 de noviembre de 1941
Batista Serres, Lorenzo;;;36;;;Gandesa (Tarragona);;;-;;;Mauthausen;;;7 de octubre de 1941
Batlle Camp, Joaquim;;;31;;;Banyoles (Girona);;;-;;;Mauthausen - Austria  - campo nazi;;;21 de febrero de 1943
Bau Rodríguez, Eugenio;;;31;;;Cañamero (Cáceres);;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1941
Bautista Serrano, Santiago;;;26;;;Oviedo (Asturias);;;-;;;Hartheim ;;;10 de febrero de 1942
Bayona Valenzuela, Tomás;;;22;;;Huelma (Jaén);;;-;;;Hartheim;;;10 de febrero de 1942
Becerra Domínguez, José;;;30;;;Talavera la Real (Badajoz);;;-;;;Hartheim;;;25 de septiembre de 1941
Becerra Triñánez, José;;;26;;;Carantoña-Vimianzo (Coruña);;;-;;;Gusen - Campo de concentración (Austria);;;19 de noviembre de 1941
Beguery, Luis;;;32;;;San Sebastián/Donostia;;;-;;;Ellrich (Alemania);;;1 de enero de 1945
Bel Ortiz, Guzmán;;;26;;;Santa Eulalia (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;3 de enero de 1942
Bel Zaragoza, Juan;;;31;;;Santa Bàrbara (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;9 de octubre de 1941
Belchi Cava, Ginés;;;32;;;Barqueros (Murcia);;;-;;;Gusen - Campo de concentración (Austria);;;27 de noviembre de 1941
Belenguer Crespo, Miguel;;;40;;;Blesa (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;19 de enero de 1943
Bella Cugat, Juan;;;36;;;Tortosa (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;2 de agosto de 1944
Belles Belles, Demetrio;;;42;;;Culla (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;20 de septiembre de 1941
Belles Beltran, Manuel;;;32;;;Morella (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;20 de noviembre de 1941
Belles Escrig, José;;;24;;;Atzeneta del Maestrat (Castelló);;;-;;;Hartheim;;;30 de septiembre de 1941
Bellver Busquets, Rossend;;;27;;;Anglès (Girona);;;-;;;Mauthausen (Gusen) - Austria - campo nazi ;;;7 de agosto de 1942
Belsué Ezpeleta, Santos;;;28;;;Agón (Zaragoza);;;-;;;Mauthausen;;;20 de marzo de 1941
Beltrán Barberán, Antonio;;;43;;;Caspe (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;11 de septiembre de 1941
Beltrán Cuartero, Francisco;;;33;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;19 de noviembre de 1941
Beltrán Jardiel, Gregorio;;;23;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;6 de febrero de 1942
Beltrán Lorén, José;;;54;;;Híjar (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;22 de noviembre de 1944
Beltrán Martín, José;;;31;;;Churriana de la Vega (Granada);;;-;;;Hartheim;;;2 de febrero de 1942
Beltrán Mateu, Tomás;;;38;;;Barcelona;;;-;;;Mauthausen;;;13 de junio de 1942
Beltrán Pérez, José;;;28;;;Valencia;;;-;;;Gusen - Campo de concentración (Austria);;;20 de diciembre de 1941
Beltrán Tora, Baudilio;;;45;;;Sant Boi de Llobregat (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;19 de noviembre de 1941
Beltrán Urrutia, Julián;;;33;;;Ribaforada (Navarra);;;-;;;Gusen - Campo de concentración (Austria);;;3 de noviembre de 1941
Benabarre Olena, Antonio;;;45;;;Baldellou (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;3 de abril de 1941
Benayas Aguilar, Felipe;;;38;;;Santa Olalla (Toledo);;;-;;;Gusen - Campo de concentración (Austria);;;22 de enero de 1942
Benedet Boix, Miguel;;;36;;;Monzón (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;21 de diciembre de 1941
Benedico Naval, Amado;;;29;;;Botorrita (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;24 de abril de 1945
Benegas Fernández, Francisco;;;42;;;Motril (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;8 de noviembre de 1941
Benegs Sancho, Inocencio;;;30;;;Teruel;;;-;;;Gusen - Campo de concentración (Austria);;;13 de agosto de 1941
Benet Vives, Francisco;;;30;;;Vallibona (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;24 de noviembre de 1941
Benítez Bastias, Cándido;;;21;;;Esparragosa de la Serena (Badajoz);;;-;;;Hartheim;;;10 de febrero de 1942
Benítez Dicha, Gerónimo;;;37;;;La Zarza (Badajoz);;;-;;;Steyr;;;9 de febrero de 1943
Benítez Moriano, Francisco;;;46;;;Málaga;;;-;;;Mauthausen (Austria);;;14 de febrero de 1941
Benítez Tejada, Diego;;;32;;;Quintana de la Serena (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;30 de diciembre de 1941
Benito Genil, José;;;31;;;El Puerto de Santa María (Cádiz);;;-;;;Gusen - Campo de concentración (Austria);;;9 de diciembre de 1941
Benito Ibarra, Víctor;;;24;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;17 de noviembre de 1941
Benzal Ortega, Antonio;;;24;;;Villaharta (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;25 de agosto de 1942
Berberia Miranda, Rufino;;;39;;;Cobeta (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;30 de octubre de 1941
Berdusán Gascón, Manuel;;;28;;;Fuentes de Ebro (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;22 de noviembre de 1941
Berenguer Palacios, Alfonso;;;26;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;30 de julio de 1942
Berenguer Pérez, Luis;;;25;;;Segura de los Baños (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;20 de abril de 1941
Berge Albesa, Francisco;;;43;;;Valderrobres (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;19 de septiembre de  1941
Berges Estrada, Aniceto;;;35;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;10 de abril de 1942
Berja Domínguez, Manuel;;;28;;;Motril (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;24 de noviembre de 1941
Berjaga Nieto, Antonio;;;27;;;Orcera (Jaén);;;-;;;Gusen - Campo de concentración (Austria);;;20 de septiembre de 1941
Berlanga Larrode, Francisco;;;48;;;Tauste (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;7 de abril de 1941
Bermejo Jiménez, Pedro;;;31;;;Garcinarro-Puebla de Don Francisco (Cuenca);;;-;;;Gusen - Campo de concentración (Austria);;;12 de noviembre de 1942
Bermejo Molina, Lorenzo;;;30;;;Maguilla (Badajoz);;;-;;;Dachau ?;;;8 de noviembre de 1942 ?
Bermejo Rivero, Vicente;;;32;;;Castilblanco (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;24 de octubre de 1941
Bermejo, Alfredo;;;31;;;Madrid;;;-;;;Buchenwald ?;;;6 de agosto de 1944
Bermúdez García, Francisco;;;30;;;La Puebla del Río (Sevilla);;;-;;;Gusen - Campo de concentración (Austria);;;20 de enero de 1942
Bermúdez Rubí, Diego;;;28;;;La Unión - Portman (Murcia);;;-;;;Gusen - Campo de concentración (Austria);;;2 de noviembre de 1941
Berna Quinto, Miguel;;;39;;;Albatera (Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;7 de noviembre de 1941
Bernabé Clemente, Ramón;;;30;;;San Pedro (Albacete);;;-;;;Gusen - Campo de concentración (Austria);;;1 de agosto de 1941
Bernabé Hernández, José;;;33;;;Murcia - Cabezo de Torres;;;-;;;Hartheim;;;23 de septiembre de 1941
Bernabeu Pérez, Victoriano;;;37;;;Castalla (Alacant/Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;1 de septiembre de 1941
Bernal Múñoz, Ignacio;;;30;;;Barcelona;;;-;;;Mauthausen;;;29 de marzo de 1943
Bernal Navarro, Matías;;;45;;;Moyuela (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;15 de julio de 1941
Bernard Periz, Enrique;;;35;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;14 de julio de 1941
Bernués Biez, Santiago;;;22;;;Jaca - Botaya (Huesca);;;-;;;Mauthausen - Campo de concentración (Austria);;;4 de abril de 1943
Bernuz Cabo, Constantino;;;30;;;Castellote-Las Parras (Teruel);;;-;;;Steyr;;;18 de junio de 1942
Berrocal Palacio, Francisco;;;53;;;Archidona (Málaga);;;-;;;Gusen - Campo de concentración (Austria);;;8 de enero de 1942
Bertrán Cabré, Sixto;;;41;;;Pradell de la Teixeta - Pradell (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Bescós, Antonio;;;42;;;Castillazuelo (Huesca);;;-;;;Haslach (Alemania) - Sportplatz;;;3 de febrero de 1945
Biarge Sánchez, Pedro;;;25;;;Grañén (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;28 de noviembre de 1941
Bicardi Casals, Buenaventura;;;27;;;Torrefarrera (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;22 de octubre de 1941
Bielsa Pitarch, Gregorio;;;25;;;Mosqueruela (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;3 de agosto de 1941
Biendicho Morlanos, Francisco;;;49;;;Zaragoza;;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Biescas Bandrés, Eleuterio;;;27;;;Basarán-Broto (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1941
Bilbao Vadala, Pedro;;;26;;;Gijón (Asturias);;;-;;;Gusen - Campo de concentración (Austria);;;18 de enero de 1942
Bisbal Costa, Juan;;;28;;;Marganell (Barcelona);;;-;;;Mauthausen;;;5 de mayo de 1945
Bitrián Juan, Casimiro;;;19;;;Alcalá de Gurrea (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;28 de noviembre de 1941
Blanch Domenech, Ramón;;;30;;;Vilalba dels Arcs (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;15 de enero de 1942
Blanco Allegue, Jorge;;;30;;;Ciudad Real;;;-;;;Gusen - Campo de concentración (Austria);;;8 de diciembre de 1941
Blanco Blanch, Antonio;;;39;;;Azanuy-Alins (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;19 de noviembre de 1941
Blanco Calles, Víctor;;;31;;;Jerte (Cáceres);;;-;;;Gusen - Campo de concentración (Austria);;;14 de enero de 1942
Blanco Cámaras, Manuel;;;29;;;Villanueva del Duque (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;3 de diciembre de 1941
Blanco González, Ángel;;;32;;;Villanueva de Alcardete (Toledo);;;-;;;Gusen - Campo de concentración (Austria);;;17 de septiembre de 1942
Blanco González, Antonio;;;22;;;Posadas (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;10 de diciembre de 1941
Blanco Guijo, Juan;;;25;;;Pozoblanco (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;26 de diciembre de 1941
Blanco Mesa, José;;;31;;;Tarifa (Cádiz);;;-;;;Gusen - Campo de concentración (Austria);;;12 de enero de 1942
Blanco Morales, Antonio;;;25;;;Motril (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;20 de enero de 1942
Blancom Lavilla, Felipe;;;34;;;Tamarite de Litera (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;20 de noviembre de 1941
Blas Almeida, Acacio;;;64;;;Gijón (Asturias);;;-;;;Gusen - Campo de concentración (Austria);;;26 de enero de 1941
Blasco Blasco, Pascual;;;51;;;Alacant/Alicant;;;-;;;Gusen - Campo de concentración (Austria);;;31 de julio de 1941
Blasco Bordetas, Simón;;;33;;;Alfajarín (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;6 de noviembre de 1941
Blasco Fernández, Felipe;;;0;;;Ateca  (Zaragoza);;;Mecánico ;;;Saint Dizier (Francia) ;;;21 de enero de 1959
Blasco Fernández, Felipe (?);;;30;;;Madrid;;;-;;;Dachau ? (campo nazi);;;20 de junio de 1944 ?
Blasco Garín, Máximo;;;38;;;Andorra (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;17 de octubre de 1941
Blasco Hidalgo, José;;;45;;;Orihuela (Alacant);;;-;;;Gusen - Campo de concentración (Austria);;;9 de diciembre de 1941
Blasco Lahoz, Basilio;;;40;;;Allueva (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;19 de julio de 1941
Blasco Sasero, César;;;67;;;Madrid;;;-;;;Dachau ?;;;28 de agosto de 1944 ?
Blasco, Benito;;;0;;;Pina de Ebro (Zaragoza);;;-;;;-;;;-
Blázquez Fernández, Bonifacio;;;34;;;Talayuela (Cáceres);;;-;;;Gusen - Campo de concentración (Austria);;;7 de noviembre de 41
Blázquez Gil, Jorge;;;31;;;Jasa (Huesca);;;-;;;Mauthausen - Campo de concentración (Austria);;;28 de marzo de 1944
Blázquez Pascual, Domingo;;;20;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;31 de diciembre de 1941
Blázquez Ruiz, Manuel;;;24;;;Segura de la Sierra (Jaén);;;-;;;Gusen - Campo de concentración (Austria);;;31 de diciembre de 1941
Blesa Muñoz, Joaquin;;;32;;;Macastre (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;15 de noviembre de 1941
Boada Oliver, Eduardo;;;37;;;Olesa de Montserrat (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;28 de noviembre de 1941
Bogas Fenoy, Manuel;;;44;;;Posadas (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;15 de noviembre de 1941
Boglio Sánchez, Amadeo;;;31;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;18 de julio de 1941
Bolaños Díaz, Manuel;;;29;;;Puerto Real (Cádiz);;;-;;;Gusen - Campo de concentración (Austria);;;29 de diciembre de 1941
Boldo Zanón, Jaime;;;43;;;Bunyol (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;20 de noviembre de 1941
Boldú Cordella, Marcelino;;;38;;;Les Borges Blanques (Lleida);;;-;;;Hartheim;;;30 de septiembre de 1941
Bometón Bometón, José;;;40;;;El Tormillo-Peralta de Alcofea (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;4 de diciembre de 1941
Bondi Breva, Juan;;;52;;;Castelló de la Plana;;;-;;;Gusen - Campo de concentración (Austria);;;24 de julio de 1941
Bondi Rivas, Manuel;;;26;;;Castelló de la Plana;;;-;;;Hartheim (Austria);;;25 de septiembre de 1941
Bondía Dolcet, Juan;;;32;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;24 de octubre de 1942
Bonet Bonet, Manuel;;;38;;;Morella - Ortells (Castellón/Castelló);;;-;;;Mauthausen;;;10 de junio de 1943
Bonet Esteve, Julio;;;23;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;13 de noviembre de 1941
Bonet Navarro, José;;;42;;;Montanejos (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;20 de diciembre de 1941
Bonet Ribas, Juan;;;42;;;Ibiza/Eivissa (Baleares);;;-;;;Gusen - Campo de concentración (Austria);;;21 de junio de 1941
Bonet Trabal, Pere;;;27;;;Ribes de Freser (Girona);;;-;;;Mauthausen (Gusen) - Austria - campo nazi ;;;14 de enero de 1942
Bonet Villarrubí, ramón;;;46;;;Granyena de Segarra - Granyena de Cervera (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;1 de diciembre de 1941
Bonifas Gotarda, Juan;;;33;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;28 de enero de 1942
Bonifàs Gotarda, Lluís;;;29;;;Tarragona;;;-;;;Gusen - Campo de concentración (Austria);;;3 de enero de 1942
Bonilla Chacón, Jacinto;;;22;;;Huete (Cuenca);;;-;;;Gusen - Campo de concentración (Austria);;;19 de octubre de 1942
Bonilla Díaz, Alfonso;;;35;;;Madroñera (Cáceres);;;-;;;Hartheim;;;24 de septiembre de 1941
Bonilla Horcas, José;;;40;;;Baena (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;16 de noviembre de 1941
Bonilla Matute, José;;;23;;;Escúzar (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Bonilla Quílez, Pedro;;;39;;;Herrera del Duque (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;12 de noviembre de 1941
Bordonava Dueso, Jerónimo;;;45;;;Moyuela (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Borja Moya, Amancio;;;29;;;Venta del Moro (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;27 de noviembre de 1941
Borrás Benaigues, Juan;;;37;;;Ginestar d&#039;Ebre (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;13 de noviembre de 1941
Borrás Massalo, Salvador;;;30;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;21 de enero de 1942
Borràs Soler, Miquel;;;26;;;Lleida;;;-;;;Gusen - Campo de concentración (Austria);;;28 de diciembre de 1941
Borrás Soriano, Valentín;;;25;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;20 de enero de 1942
Borrego García, Aurelio;;;34;;;El Gastor (Cádiz);;;-;;;Gusen - Campo de concentración (Austria);;;27 de noviembre de 1942
Borrell Roure, Joan;;;27;;;Riudellots de la Selva (Girona);;;-;;;Mauthausen (Gusen) - Austria - campo nazi ;;;26 de diciembre de 1941
Borroy Budria, Francisco;;;22;;;Quinto (Zaragoza);;;-;;;Hartheim;;;23 de septiembre de 1941
Bosch Casans, Alfredo;;;20;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;29 de diciembre de 1941
Bosch García, Antonio;;;34;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;28 de enero de 1942
Bosch Guixa, Manuel;;;36;;;Castellbell i el Vilar (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;2 de agosto de 1941
Bosch Inglés, Antonio;;;24;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;13 de mayo de 1942
Bosch Mauri, Joan;;;34;;;Palafrugell (Girona);;;-;;;Mauthausen (Gusen) - Austria - campo nazi ;;;21 de noviembre de 1941
Bosque Villanueva, Francisco;;;26;;;Pina de Ebro (Zaragoza);;;-;;;Hartheim;;;10 de febrero de 1942
Botella Pavía, José;;;36;;;Aspe (Alicante);;;-;;;Hartheim (Austria);;;23 de septiembre de 1941
Botella Vaello, Gaspar;;;37;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;10 de junio de 1941
Boyarizo Moreno, Cecilio;;;40;;;Arbancón - Jocar (Guadalajara);;;-;;;Hartheim;;;24 de septiembre de 1941
Bracero Martín, Antonio;;;28;;;Cañete la Real (Málaga);;;-;;;Gusen - Campo de concentración (Austria);;;4 de noviembre de 1941
Braña Alvárez, Luis;;;25;;;Mieres (Asturias);;;-;;;Gusen - Campo de concentración (Austria);;;15 de enero de 1942
Brandi Martín, Eduardo;;;37;;;Málaga;;;-;;;Gusen - Campo de concentración (Austria);;;27 de noviembre de 1942
Bravo Calamardo, Julián;;;25;;;Villahermosa (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;8 de diciembre de 1941
Bravo Martínez, Antonio;;;33;;;Alguazas (Murcia);;;-;;;Mauthausen - campo exterminio nazi - Austria;;;20 de noviembre de 1941
Bravo, José;;;43;;;Valverde de Llerena (Badajoz);;;-;;;Zwikau ?;;;30 de octubre de 1944 ?
Braza Montalbán, Pedro;;;30;;;Montalbo (Cuenca);;;-;;;Gusen - Campo de concentración (Austria);;;21 de noviembre de 1941
Breba Gil, Tomás;;;30;;;Castelló/Castellón;;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Bregón Villumbrales, Tesifón;;;27;;;Piña de Campos  (Palencia);;;-;;;Gusen - Campo de concentración (Austria);;;25 de noviembre de 1941
Brell Manzano, Amadeo;;;28;;;Valencia;;;-;;;Gusen - Campo de concentración (Austria);;;30 de noviembre de 1941
Brocal Gómez, Juan;;;37;;;Alpartir (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;16 de agosto de 1941
Broncano Barba, Rafael;;;23;;;Cañamero (Cáceres);;;-;;;Gusen - Campo de concentración (Austria);;;26 de agosto de 42
Bru Marco, Salvador;;;42;;;Montroig del Camp (?) (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Brull Solares, José;;;42;;;Tortosa (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;21 de junio de 1941
Brumon Tella, José;;;30;;;Ejulve (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;15 de enero de 1942
Brun Bartolí, José;;;33;;;Rubiales (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;15 de diciembre de 1941
Brun Boix, Antonio;;;25;;; Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;22 de noviembre de 1941
Brunet López, Ángel;;;29;;;Sanaüja (Lleida) Canovelles;;;-;;;Gusen - Campo de concentración (Austria);;;2 de diciembre de 1941
Brunet, Pedro;;;28;;;Manresa (Barcelona);;;-;;;Flossenbürg;;;21 de mayo de 1944
Buchaca Parramona, Martín;;;35;;;Menàrguens (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;24 de noviembre de 1941
Buen Abadía, Ramón de ;;;39;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;5 de agosto de 1945
Buenache García, Ruperto;;;28;;;Alcázar del Rey (Cuenca);;;-;;;Hartheim (Austria);;;10 de febrero de 1942
