Revenedor,revendedor
Rifador,rifador
Sabater,zapatero
Saliner,salinero
Sargento Infantería,sargento de infantería
Sastre,sastre
Sazonador,sazonador
Secret. Ajunt.,secretario de ayuntamiento
Secretari,secretario
Secretari Jutjat,secretario de juzgado
Secretari sala,secretario de sala
Serrador,aserrador
Sillero,sillero
Soguer,soguero
Soldador,soldador
Talabarder,talabartero
Talador,talador
Tallador,cortador
Tallista,tallista
Tapisser,tapicero
Taquimecanograf,taquimecanógrafo
Tartaner,tartán
Taulelleter,taulelleter
Taverner,tavernero
Teixidor,tejedor
Teixidor Mecànic,tejedor mecánico
Telefonista,telefonista
Telegrafista,telegrafista
Terrisser,alfarero
Teuler,teuler
Tèxtil,textil
Tintorer,tintorero
Tipògraf,tipógrafo
Tonelero,tonelero
Topògraf,topógrafo
Torner,tornero
Tramviari,tranviario
Transportista,transportista
Trapero,trapero
Tratante,tratante
Turronero,turronero
Vaquer,vaquero
Vendapremsa,vendedor de prensa
Vendedor prensa,vendedor de prensa
Venedor,vendedor
Venedor ambulant,vendedor ambulante
Venedor premsa,vendedor de prensa
Verduler,verdulero
Viatjant,viajante
Vigilante Municipal,vigilante municipal
Vigilante Nocturno,vigilante nocturno
Vulcanitzador,vulcanizador
Vulcanitzaor,vulcanizador
Xapista,chapista
Xocolater,chocolatero
Xofer,chófer
Yesero,yesero
